producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
Morcillas Dulce CATTIVELLI al vacío x 300 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,155,,,,,,,disco,,333922,https://www.disco.com.uy/product/morcillas-dulce-cattivelli-al-vacio-x-300-g/333922
Morcillas Dulce CATTIVELLI al vacío x 300 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,155,,,,,,,geant,,333922,https://www.geant.com.uy/product/morcillas-dulce-cattivelli-al-vacio-x-300-g/333922
Morcillas Dulces Cattivelli Con Frutas Y Mani Al Vacio 2 U,Cattivelli,Competencia,Cattivelli,Carnes y cortes,189,189,,,,,,tata,,164701,https://www.tata.com.uy/morcillas-dulces-cattivelli-con-frutas-y-mani-al-vacio-2-u-164701/p
Morcillas Saladas Cattivelli Con Queso Y Aceitunas Al Vacio 2 U,Cattivelli,Competencia,Cattivelli,Carnes y cortes,129,129,,,,,,tata,,157008,https://www.tata.com.uy/morcillas-saladas-cattivelli-con-queso-y-aceitunas-al-vacio-2-u-157008/p
Bondiola Centenario Kg,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,979,979,,,,,,eldorado,,35696,https://www.eldorado.com.uy/bondiola-centenario-kg/p
Bondiola CENTENARIO x kg,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,61,1210,,,,,,devoto,,360123,https://www.devoto.com.uy/product/bondiola-centenario-x-kg/360123
Bondiola CENTENARIO x kg,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,46,1210,,,,,,geant,,360123,https://www.geant.com.uy/product/bondiola-centenario-x-kg/360123
Bondiola en Fetas Vacio CENTENARIO 200 gr,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,431,,,,,,,tiendainglesa,,410248,"https://www.tiendainglesa.com.uy/supermercado/bondiola-en-fetas-vacio-centenario-200-gr.producto?410248,,42"
Jamón CENTENARIO Etiqueta Negra Envasado al Vacío 200 gr,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,235,,,,,,,tiendainglesa,,410251,"https://www.tiendainglesa.com.uy/supermercado/jamon-centenario-etiqueta-negra-envasado-al-vacio-200-gr.producto?410251,,42"
Lomo Canadiense Al Vacío Centenario 200 G,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,279,279,,,,,,tata,,16422,https://www.tata.com.uy/lomo-canadiense-al-vacio-centenario-200-g-16422/p
Pipa Al Vacío Centenario 180 G,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,310,310,,,,,,tata,,16420,https://www.tata.com.uy/pipa-al-vacio-centenario-180-g-16420/p
Pipa CENTENARIO al Vacío 220 g $ 250,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,250,,,,,,,tiendainglesa,,345140,"https://www.tiendainglesa.com.uy/supermercado/pipa-centenario-al-vacio-220-g.producto?345140,,42"
Queso Centenario Danbo Kg Al Vacio,Alimentos Centenario,Competencia,Alimentos Centenario,Carnes y cortes,657,657,,,,,,eldorado,,50583,https://www.eldorado.com.uy/queso-centenario-danbo-kg-al-vacio/p
Asado de Centro al Vacío LA CONSTANCIA,La Constancia,Competencia,La Constancia,Carnes y cortes,585,,,,,,,devoto,,341269,https://www.devoto.com.uy/product/asado-de-centro-al-vacio-la-constancia/341269
Asado de Centro al Vacío LA CONSTANCIA,La Constancia,Competencia,La Constancia,Carnes y cortes,585,,,,,,,disco,,341269,https://www.disco.com.uy/product/asado-de-centro-al-vacio-la-constancia/341269
Asado De Cerdo Al Vacío La Constancia 900 Gr,La Constancia,Competencia,La Constancia,Carnes y cortes,390.63,449,,,,,,tata,,3844,https://www.tata.com.uy/asado-de-cerdo-al-vacio-la-constancia-900-gr-1000056820-3844/p
Asado de cerdo LA CONSTANCIA al vacío x 800 g,La Constancia,Competencia,La Constancia,Carnes y cortes,388,,,,,,,devoto,,341070,https://www.devoto.com.uy/product/asado-de-cerdo-la-constancia-al-vacio-x-800-g/341070
Asado de cerdo LA CONSTANCIA al vacío x 800 g,La Constancia,Competencia,La Constancia,Carnes y cortes,388,,,,,,,disco,,341070,https://www.disco.com.uy/product/asado-de-cerdo-la-constancia-al-vacio-x-800-g/341070
Asado de Cerdo LA CONSTANCIA Envasado al Vacío (Kg),La Constancia,Competencia,La Constancia,Carnes y cortes,659,,,,,,,tiendainglesa,,93762,"https://www.tiendainglesa.com.uy/supermercado/asado-de-cerdo-la-constancia-envasado-al-vacio-kg.producto?93762,,42"
Bondiola Envasada LA CONSTANCIA Envasado al Vacío (Kg),La Constancia,Competencia,La Constancia,Carnes y cortes,469,,,,,,,tiendainglesa,,6191,"https://www.tiendainglesa.com.uy/supermercado/bondiola-envasada-la-constancia-envasado-al-vacio-kg.producto?6191,,42"
French Rack al Vacío LA CONSTANCIA x kg,La Constancia,Competencia,La Constancia,Carnes y cortes,539,,,,,,,devoto,,341270,https://www.devoto.com.uy/product/french-rack-al-vacio-la-constancia-x-kg/341270
